cd_cnpj,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados
cd_cnpj,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados
12305448000100,,,
14180365000150,,,
01144533000100,,,
01911869000150,,,
00243955000170,,,
00890690000100,,,
00887641000100,,,
00092783000180,,,
09320876000190,,,
01846005000100,,,
05610297000120,,,
15044857000180,,,
15028623000140,,,
07297742000170,,1,0
15291845000150,,,
15090404000190,,,
90400888251650,,,
12254288000100,,,
04226709000160,,,
16679748000100,,,
07793444000170,,,
03220549000180,,,
01687525000100,,,
11772974000100,,,
05850538000290,,,
86396371000150,,,
52792652000100,,,
15818386000110,,,
01498181000190,,2,0
80495856000700,,,
02186486000120,,,
65070146000230,,,
02053352000130,,,
06319255001170,,,
10886199000150,,,
12019359000190,,,
06216178000150,,,
12459122000120,,,
10532571000120,,,
11163415000100,,,
20963351002230,,4,0
55055743000150,,,
11199599000150,,,
09445384000120,,4,0
87301180000120,,,
08739568000130,,,
04500550000120,,,
12810402000130,,,
05410317000110,,,
12223579000130,,,
96617865000170,,,
08047579000150,,,
09873296000120,,,
08641806000170,,,
09214498000160,,,
12690066000130,,,
07605227000100,,,
94409778000100,,,
21081120000130,,,
77687663000150,,2,1
13103110000120,,,
84630474000450,,,
37224847000160,,,
11971190000100,,,
07244034000170,,,
12121605000110,,,
12708033000170,,,
62955505281310,,,
21614193000140,,,
05008116000190,,,
07095151000110,,,
15493137000100,,,
09253073000160,,,
05266699000150,,,
05312857000160,,,
05421886000160,,,
42064295000100,,,
01893515000120,,,
15136062000100,,,
17184201078970,,,
15136583000150,,,
15361199000150,,,
15608045000110,,,
07435464000170,,,
08180392000120,,,
02265502000170,,,
04907539000180,,,
12537293000120,,,
09437544000190,,,
10118122000130,,,
03814359000190,,,
61538567000100,,1,0
04966436000190,,,
64624521000100,,,
77365765000150,,,
00326297000180,,,
14644627000190,,,
13629575000110,,,
15581916000150,,,
03471229000100,,,
06230514000110,,,
14894610000190,,,
05438357000170,,,
13401477000120,,,
72833999000160,,,
12481765000170,,,
11771732000100,,,
10441320000130,,2,0
10850466000130,,,
10480447000240,,,
15697292000130,,,
15217444000150,,2,0
15220854000150,,,
15740742000120,,,
08216974000380,,,
01995195000110,,,
03391792000160,,,
08457794000390,,,
14222846000180,,,
07669934000160,,,
06137179000100,,,
01387360000150,,,
09545298000190,,,
40484867000850,,,
48346043000150,,,
13567044000140,,,
13598884000170,,,
04056122000150,,,
04841694000140,,,
66508078000120,,,
11726294000150,,1,0
11959342000150,,,
34481390000180,,,
12555119000100,,,
07907566000140,,,
01682355000170,,1,0
08455770000130,,1,0
74034307000140,,,
14672094000150,,,
02521644000150,,,
14133477000150,,,
06021074000190,,,
07784989000110,,,
14550570000160,,,
14570622000160,,,
01052752000240,,,
09353200000100,,,
09102759000150,,,
09310725000150,,,
08374337000170,,,
08225677000130,,1,0
13865327000410,,,
15296818000170,,,
08402134000140,,,
59121624000100,,,
92112333000120,,1,0
08661339000140,,,
14577061000120,,1,0
14797432000180,,,
16700845000120,,,
14581505000100,,,
15309170000120,,,
14384803000100,,,
07104105000210,,,
15797920000150,,,
89809099000180,,,
88740717000110,,,
88485743000140,,,
29190576000140,,,
51444594000160,,,
60124799000150,,,
50962802000150,,,
56609704000110,,,
25278086000140,,,
31669633000110,,,
52817210000170,,,
29319787000130,,,
19304245000130,,,
50109289000150,,,
54677331000190,,,
52070638000100,,,
55228365000160,,,
64797277000170,,,
68747245000200,,,
73497265000110,,,
67048348000120,,,
76684166000640,,,
64069826000190,,,
72259583000180,,,
78677176000170,,,
71540447000100,,,
40402109000170,,,
42967455000120,,,
44907251000120,,,
44245108000110,,,
36902278000100,,,
33279563000110,,,
37274180000100,,,
43221084001330,,,
90613217000160,,,
93655918000150,,,
87876496000140,,,
89438311000140,,,
83704502000120,,,
94180098000150,,,
93817237000140,,,
96594700000120,,,
81797078000180,,,
94632130000190,,,
91546036000120,,,
19645365000100,,,
52289014000170,,,
30691836000140,,,
20555413000140,,,
20000204000130,,,
31170392000160,,,
27668193000100,,,
27357292000170,,,
32224826000120,,,
55614317000100,,,
61906053000160,,,
50986116000110,,,
27306927000100,,,
30441406000170,,,
59506311000170,,,
61005500000100,,,
16294894000100,,1,0
26528679000180,,,
61672473000120,,,
78993045000100,,,
21106364000120,,,
53768289000150,,,
71196976000120,,,
77650638000100,,,
79754792000140,,,
32431462000150,,,
73104580000130,,,
74081167000160,,,
73131021000110,,,
80101264000170,,,
78744604000130,,,
71367874000120,,,
76664895000120,,,
77480754000110,,,
75814319000230,,,
41909805000130,,,
48763809000100,,,
38857462000100,,,
43716505000160,,,
45533981000170,,,
53112561000300,,,
49464951000100,,,
41207010000180,,,
43325992000130,,,
32641367000180,,,
34955781000190,,,
36541985000100,,,
01756145000180,,,
57325557000110,,,
75814319000150,,,
07313662000160,,,
53278339000110,,,
26208694000140,,,
12496188000190,,,
54591094000140,,,
01433163000120,,,
01142967000170,,,
01712264000130,,,
02533201000180,,,
09790115000100,,,
10436563000180,,,
12220507000130,,,
04904391000120,,,
03901079000110,,2,0
13876515000100,,,
00516281000130,,,
14823970000100,,1,0
17001237000190,,,
14045278000190,,,
11769325000150,,,
13649275000100,,,
15375030000150,,,
14830545000130,,,
15351613000140,,,
15359272000150,,,
09719436000100,,2,1
13850287000190,,,
14023390000120,,,
00849004000300,,,
15971961000110,,,
13658549000110,,,
14312252000160,,,
37564887000150,,,
